,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
1186,sell,house,|Solidaridad|Quintana Roo|México|,"20.6188710143,-87.1069069952",2064000.0,MXN,2045813.52,108770.69,200.0,145.0,543.8534500000001,14234.48275862069,2.0,,,http://playa-del-carmen.properati.com.mx/bq99_venta_casa_playa-del-carmen
1187,sell,apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.3627702,-99.2659429",10600000.0,MXN,10504109.38,558476.72,241.0,0.0,2317.3307883817424,,,,,http://cuajimalpa-de-morelos.properati.com.mx/p4ld_venta_departamento_cuajimalpa-de-morelos_m-m-consultores-inmobiliarios
1188,sell,apartment,|Benito Juárez|Distrito Federal|México|,"23.634501,-102.552788",3265234.0,MXN,3235695.65,172033.69,,90.0,,36280.37777777778,,,,http://benito-juarez.properati.com.mx/ns60_venta_departamento_benito-juarez_adolfo-prieto_146_ubaldo-velasco
1189,sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.320576,-99.20929",25000000.0,MXN,24779718.19,1317474.45,1320.0,1100.0,998.0867045454544,22727.272727272728,,,,http://alvaro-obregon.properati.com.mx/oq6c_venta_casa_alvaro-obregon_pichardo-y-asociados-inmobiliaria
1190,sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.34016,-99.194081",2500000.0,MXN,2477384.14,131716.2,,181.0,,13812.154696132597,,,,http://loreto.properati.com.mx/pvk1_venta_casa_loreto_altamirano_50_juan-carlos-monter
1191,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.443178,-99.20237",5000000.0,MXN,4954768.48,263432.41,,74.0,,67567.56756756757,,,,http://ampliacion-granada.properati.com.mx/mxbs_venta_departamento_ampliacion-granada_lago-zurich-polarea-torre-singapur-hermoso-depto-con-amendidades_0_invest4-real-estate
1192,sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.3339183962,-99.2400678992",4884535.0,MXN,4840348.1,257348.97,160.0,160.0,1608.4310625,30528.34375,,,,http://alvaro-obregon.properati.com.mx/b537_venta_departamento_alvaro-obregon
1193,sell,apartment,|Coyoacán|Distrito Federal|México|,"19.308287,-99.146309",1419000.0,MXN,1406163.33,74762.12,,50.0,,28380.0,,,,http://coyoacan.properati.com.mx/pcs0_venta_departamento_coyoacan_inventario-inmobiliario-6
1194,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.3653,-99.148217",1210000.0,MXN,1199338.29,63765.76,,67.0,,18059.701492537315,,,,http://benito-juarez.properati.com.mx/r3sk_venta_departamento_benito-juarez_gral-emiliano-zapata_117_remate-bancario_e2b
1195,sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.1180036168,-86.7681055079",189000.0,USD,3554806.5,189000.0,97.0,97.0,1948.4536082474224,1948.4536082474224,,,,http://cancun.properati.com.mx/lmz2_venta_departamento_cancun_jpm-realestate
1196,sell,apartment,|Coyoacán|Distrito Federal|México|,"19.324075,-99.117756",766667.0,MXN,759731.36,40392.98,,80.0,,9583.3375,,,,http://coyoacan.properati.com.mx/oei0_venta_departamento_coyoacan_manuel-saenz_283_ubaldo-velasco
1197,sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.3854414,-99.1917749",2465000.0,MXN,2509686.8,133433.65,50.0,,2668.673,,,1.0,,http://alvaro-obregon.properati.com.mx/n0yw_venta_departamento_alvaro-obregon_prolongacion-san-antonio-7_dueno-directo_cys
1198,sell,house,|Miguel Hidalgo|Distrito Federal|México|,"19.420166,-99.220367",21000000.0,MXN,20810028.15,1106416.15,,398.0,,52763.81909547739,,,,http://lomas-altas.properati.com.mx/oexj_venta_casa_lomas-altas_lomas-altas_254_hbg-ks
1199,sell,house,|Miguel Hidalgo|Distrito Federal|México|,"19.3951834,-99.2320055",8950000.0,MXN,8871139.05,471655.85,319.0,385.0,1478.5449843260187,23246.753246753247,,,,http://miguel-hidalgo-df.properati.com.mx/r23s_venta_casa_miguel-hidalgo_remax-tk
1200,sell,house,|Benito Juárez|Quintana Roo|México|,"21.1126405,-86.7664362",750000.0,USD,14106375.0,750000.0,391.0,384.0,1918.158567774936,1953.125,,,,http://cancun.properati.com.mx/bbm3_venta_casa_cancun
1201,sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.523787,-99.153007",1949248.0,MXN,1931614.51,102699.02,,200.0,,9746.24,,,,http://gustavo-a-madero.properati.com.mx/pug0_venta_casa_gustavo-a-madero_del-golfo_0_carlos-hernandez_c5a
1202,sell,apartment,|Azcapotzalco|Distrito Federal|México|,"19.491447,-99.180214",891000.0,MXN,883148.97,46954.78,0.0,63.0,,14142.857142857143,,,,http://azcapotzalco.properati.com.mx/qbv0_venta_departamento_azcapotzalco_dkep-consultoria-inmobiliaria-s-a-de-c-v
1203,sell,house,|Benito Juárez|Quintana Roo|México|,"21.1356326752,-86.8262426555",2850000.0,MXN,2824887.73,150192.08,147.0,157.0,1021.7148299319728,18152.866242038217,2.0,,,http://cancun.properati.com.mx/fjxt_venta_casa_cancun
1204,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.449997,-99.18117",791113.0,MXN,783956.33,41680.96,,55.0,,14383.872727272726,,,,http://anahuac-miguel-hidalgo.properati.com.mx/p3em_venta_departamento_anahuac_lago-iseo_33_ricardo-bahena-leyte
1205,sell,house,|Benito Juárez|Distrito Federal|México|,"19.381253,-99.140806",7796631.0,MXN,7726100.52,410777.07,,190.0,,41034.9,,,,http://benito-juarez.properati.com.mx/nicd_venta_casa_benito-juarez_privada-de-lago_0_ivan-andres
1206,sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.365175,-99.230064",2860000.0,MXN,2834127.6,150683.34,,220.0,,13000.0,,,,http://alvaro-obregon.properati.com.mx/p8a6_venta_casa_alvaro-obregon_santa-lucia_carlos-alvarez-corona
1207,sell,house,|Benito Juárez|Quintana Roo|México|,"21.1295466,-86.8170132",450000.0,USD,8463825.0,450000.0,250.0,250.0,1800.0,1800.0,2.0,,,http://cancun.properati.com.mx/eywg_venta_casa_cancun
1208,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"23.634501,-102.552788",5500000.0,MXN,5450245.5,289775.66,,54.0,,101851.85185185184,,,,http://miguel-hidalgo-df.properati.com.mx/p8gh_venta_departamento_miguel-hidalgo_inventario-inmobiliario-8
1209,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.390748,-99.158695",2500000.0,MXN,2477971.72,131747.44,,129.0,,19379.84496124031,,,,http://benito-juarez.properati.com.mx/rbgz_venta_departamento_benito-juarez_pestalozzi_611_federico-mendoza
1210,sell,apartment,|Coyoacán|Distrito Federal|México|,"19.309208,-99.171906",993600.0,MXN,984611.62,52349.29,,60.0,,16560.0,,,,http://coyoacan.properati.com.mx/pcza_venta_departamento_coyoacan_rinconada-del-continente_1_javier-flores-vazquez
1211,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.451872,-99.173522",1270000.0,MXN,1258511.15,66911.83,,70.0,,18142.85714285714,,,,http://santo-tomas.properati.com.mx/qclg_venta_departamento_santo-tomas_mar-mediterraneo_272_santiago-luna
1212,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.381978,-99.156831",1860000.0,MXN,1843173.75,97996.85,,50.0,,37200.0,,,,http://benito-juarez.properati.com.mx/p9gz_venta_departamento_benito-juarez_ixcateopan_12_ericka-olguin
1213,sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.338936,-99.260136",4050000.0,MXN,4013362.43,213380.25,,110.0,,36818.181818181816,,,,http://alvaro-obregon.properati.com.mx/ovvw_venta_casa_alvaro-obregon_versalles_34_edith-diaz
1214,sell,house,|Isla Mujeres|Quintana Roo|México|,,650000.0,USD,12225525.0,650000.0,2126.0,0.0,305.7384760112888,,,,,http://isla-mujeres-quintana-roo.properati.com.mx/pa8w_venta_casa_isla-mujeres_me-luxury-properties
1215,sell,apartment,|Solidaridad|Quintana Roo|México|,"20.6366598988,-87.0684957504",350000.0,USD,6582975.0,350000.0,194.0,194.0,1804.1237113402065,1804.1237113402065,,,,http://playa-del-carmen.properati.com.mx/b9nd_venta_departamento_playa-del-carmen
1216,sell,apartment,|Tlalpan|Distrito Federal|México|,"19.275206,-99.218292",8450000.0,MXN,8375544.67,445306.36,147.0,147.0,3029.2949659863943,57482.99319727891,,,,http://tlalpan.properati.com.mx/f5y0_venta_departamento_tlalpan
1217,sell,apartment,|Coyoacán|Distrito Federal|México|,"19.328643,-99.124224",717000.0,MXN,710513.65,37776.2,,75.0,,9560.0,,,,http://coyoacan.properati.com.mx/qved_venta_departamento_coyoacan_ursulo-galvan_28_jose-camacho
1218,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.400877,-99.16222",3493333.0,MXN,3461731.32,184051.43,,120.0,,29111.108333333334,,,,http://benito-juarez.properati.com.mx/qza3_venta_departamento_benito-juarez_retorno-de-amores_11_roberto-saavedra
1219,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.454332,-99.200287",1021750.0,MXN,1012506.88,53832.41,,90.0,,11352.777777777776,,,,http://miguel-hidalgo-df.properati.com.mx/px2l_venta_departamento_miguel-hidalgo_felipe-carrillo-puerto_692_ivan-andres
1220,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.367609,-99.15581",3750000.0,MXN,3716076.4,197574.31,,152.0,,24671.052631578947,,,,http://benito-juarez.properati.com.mx/piwt_venta_departamento_benito-juarez_zonahogares-com
1221,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.383446,-99.137643",1290000.0,MXN,1278330.23,67965.56,,64.0,,20156.25,,,,http://benito-juarez.properati.com.mx/mivd_venta_departamento_benito-juarez_virginia_46_santiago-luna
1222,sell,house,|Azcapotzalco|Distrito Federal|México|,"19.489897,-99.21067",5000000.0,MXN,4955943.63,263494.89,421.0,421.0,625.8785985748219,11876.484560570072,,,,http://azcapotzalco.properati.com.mx/qaey_venta_casa_azcapotzalco_er-developmente-group
1223,sell,apartment,|Azcapotzalco|Distrito Federal|México|,"19.48527,-99.200287",2100000.0,MXN,2081496.25,110667.85,,150.0,,14000.0,,,,http://petrolera.properati.com.mx/ra76_venta_departamento_petrolera_alfonso-aldaco
1224,sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.337822,-99.246689",1590000.0,MXN,1575616.25,83771.5,,200.0,,7950.0,,,,http://lomas-de-los-cedros.properati.com.mx/qz3y_venta_casa_lomas-de-los-cedros_lomas-tinajas_37_roberto-saavedra
1225,sell,apartment,|Coyoacán|Distrito Federal|México|,"19.30282,-99.164293",6072410.0,MXN,6182494.07,328707.45,145.0,,2266.9479310344827,,,,,http://pedregal-de-carrasco.properati.com.mx/g4ya_venta_departamento_pedregal-de-carrasco
1226,sell,apartment,|Coyoacán|Distrito Federal|México|,"19.332495,-99.168057",1030000.0,MXN,1020682.18,54267.07,,45.0,,22888.88888888889,,,,http://pedregal-de-santo-domingo.properati.com.mx/kic5_venta_departamento_pedregal-de-santo-domingo_pipizahuac_93_octavio-morales-martinez
1227,sell,apartment,|Iztapalapa|Distrito Federal|México|,"19.370294162,-99.0079709888",690000.0,MXN,683758.0,36353.67,56.0,,649.1726785714285,,,2.0,,http://santa-martha-acatitla-norte.properati.com.mx/ocd8_venta_departamento_santa-martha-acatitla-norte_portafolios-hipotecarios_7if
1228,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.370046,-99.146155",1500000.0,MXN,1486430.48,79029.72,,80.0,,18750.0,,,,http://benito-juarez.properati.com.mx/oet8_venta_departamento_benito-juarez_victor-hugo_103_adami-delgadillo
1229,sell,house,|Benito Juárez|Quintana Roo|México|,"21.1398756255,-86.8301050365",4500000.0,MXN,4460349.25,237145.4,0.0,0.0,,,2.0,,,http://cancun.properati.com.mx/d65r_venta_casa_cancun
1230,sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.482024,-99.112712",783280.0,MXN,776194.06,41268.26,,40.0,,19582.0,,,,http://gustavo-a-madero.properati.com.mx/ooq2_venta_departamento_gustavo-a-madero_francisco-moreno_1_edgar-hidalgo-salvador
1231,sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.519303,-99.136218",1592000.0,MXN,1577598.29,83876.88,,100.0,,15920.0,,,,http://gustavo-a-madero.properati.com.mx/q6nc_venta_departamento_gustavo-a-madero_avenida-acueducto_903_marcelina-hernandez
1232,sell,house,|Benito Juárez|Distrito Federal|México|,"19.394358,-99.177444",,,,,0.0,0.0,,,,,,http://benito-juarez.properati.com.mx/qzlv_venta_casa_benito-juarez_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
1233,sell,apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.3874584,-99.2521431",15900000.0,MXN,15759900.76,837913.75,0.0,310.0,,51290.32258064516,,,,http://cuajimalpa-de-morelos.properati.com.mx/oq6q_venta_departamento_cuajimalpa-de-morelos_trueba-de-torres-y-asociados-s-a-de-cv
1234,sell,house,|La Magdalena Contreras|Distrito Federal|México|,,18573225.0,MXN,18409571.15,978789.97,434.0,519.0,2255.2764285714284,35786.560693641615,2.0,,,http://la-magdalena-contreras.properati.com.mx/eyzt_venta_casa_la-magdalena-contreras
1235,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.39912,-99.141464",3332000.0,MXN,3301857.75,175551.36,,74.0,,45027.02702702703,,,,http://benito-juarez.properati.com.mx/o2vg_venta_departamento_benito-juarez_jorge-trejo_c56
1236,sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.371843,-99.200287",1350000.0,MXN,1338104.77,71143.62,0.0,66.0,,20454.545454545456,,,,http://alvaro-obregon.properati.com.mx/m6p5_venta_departamento_alvaro-obregon_valua-bienes-raices
1237,sell,house,|La Magdalena Contreras|Distrito Federal|México|,"19.317922,-99.236124",3350000.0,MXN,3319694.98,176499.72,,350.0,,9571.42857142857,,,,http://san-jeronimo-lidice.properati.com.mx/q6o4_venta_casa_san-jeronimo-lidice_escuela-superior-de-guerra_0_federico-arturo
1238,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.384808,-99.137496",1301030.0,MXN,1289566.24,68562.95,,380.0,,3423.7631578947367,,,,http://benito-juarez.properati.com.mx/r48z_venta_departamento_benito-juarez_virginia_0_alberto-carrillo-mendez
1239,sell,house,|Cuauhtémoc|Distrito Federal|México|,"19.427636,-99.158267",1286849.0,MXN,1275207.64,67799.54,,100.0,,12868.49,,,,http://cuauhtemoc.properati.com.mx/q5p0_venta_casa_cuauhtemoc_dinamarca_50_santiago-luna
1240,sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.48778,-99.110583",1000000.0,MXN,990953.65,52686.48,,65.0,,15384.615384615385,,,,http://martin-carrera.properati.com.mx/o75g_venta_departamento_martin-carrera_martin-carrera_33_profin-inmobiliaria
1241,sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.4753714,-99.1048072",630000.0,MXN,624448.78,33200.35,65.0,65.0,510.77461538461534,9692.307692307691,,,,http://gustavo-a-madero.properati.com.mx/ofs1_venta_departamento_gustavo-a-madero_all-in-1-mexico-real-estate_656
1242,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.455909878,-99.2046815157",800000.0,MXN,792950.93,42159.18,59.0,59.0,714.5623728813559,13559.322033898305,,,,http://miguel-hidalgo-df.properati.com.mx/cc17_venta_departamento_miguel-hidalgo
1243,sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.496491,-99.149702",785000.0,MXN,778083.0,41368.69,,75.0,,10466.666666666666,,,,http://gustavo-a-madero.properati.com.mx/rd1o_venta_departamento_gustavo-a-madero_avenida-de-los-100-metros_450_cecilia-reyes_exc
1244,sell,apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.3631419,-99.2880597",1500000.0,USD,28212750.0,1500000.0,0.0,325.0,,4615.384615384615,,,,http://cuajimalpa-de-morelos.properati.com.mx/cqwi_venta_departamento_cuajimalpa-de-morelos
1245,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.427649,-99.176003",3325929.0,MXN,3295841.66,175231.5,,413.0,,8053.096852300242,,,,http://miguel-hidalgo-df.properati.com.mx/pj3g_venta_departamento_miguel-hidalgo_descartes_0_alberto-carrillo-mendez
1246,sell,house,|Benito Juárez|Distrito Federal|México|,"19.380644,-99.179176",,,,,0.0,0.0,,,,,,http://benito-juarez.properati.com.mx/r1se_venta_casa_benito-juarez_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
1247,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,,14060000.0,MXN,13936113.49,740947.63,,180.0,,78111.11111111111,,,,http://miguel-hidalgo-df.properati.com.mx/brzj_venta_departamento_miguel-hidalgo
1248,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.38338,-99.1602642",2300000.0,MXN,2279193.52,121178.91,,,,,,2.0,,http://benito-juarez.properati.com.mx/ph6f_venta_departamento_benito-juarez_alfa-inmobiliaria-elite
1249,sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.41498,-99.177444",7920000.0,MXN,7850214.61,417375.9,158.0,119.0,2641.6196202531646,66554.6218487395,,,,http://cuauhtemoc.properati.com.mx/phqw_venta_departamento_cuauhtemoc_realtors-mx
1250,sell,house,|Benito Juárez|Quintana Roo|México|,"21.1295466,-86.8170132",13800000.0,MXN,13678404.32,727245.89,500.0,460.0,1454.49178,30000.0,3.0,,,http://cancun.properati.com.mx/dqgd_venta_casa_cancun
1251,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.391834,-99.188695",2469518.0,MXN,2447178.07,130110.22,,75.0,,32926.90666666667,,,,http://benito-juarez.properati.com.mx/q72t_venta_departamento_benito-juarez_blvd-adolfo-lopez-mateos_1040_ivan-andres-martinez
1252,sell,house,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.399095,-99.255136",17000000.0,MXN,16850208.25,895882.62,,426.0,,39906.103286384976,,,,http://bosques-de-las-lomas.properati.com.mx/ragd_venta_casa_bosques-de-las-lomas_ahuehuetes_868_inmobiliaria-kalog-mx-kalog-mx
1253,sell,apartment,|Iztacalco|Distrito Federal|México|,"19.403155,-99.074139",628600.0,MXN,622913.44,33118.72,,75.0,,8381.333333333334,,,,http://agricola-oriental.properati.com.mx/qb97_venta_departamento_agricola-oriental_oriente-237_93_patricia-macias
1254,sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.520287,-99.149071",,,,,0.0,0.0,,,,,,http://gustavo-a-madero.properati.com.mx/r5ss_venta_casa_gustavo-a-madero_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
1255,sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.493973,-99.130394",10104294.0,MXN,10012887.79,532359.72,,230.0,,43931.71304347826,,,,http://gustavo-a-madero.properati.com.mx/pdrz_venta_casa_gustavo-a-madero_managua_0_adami-delgadillo
1256,sell,house,|Gustavo A. Madero|Distrito Federal|México|,,,,,,0.0,0.0,,,,,,http://gustavo-a-madero.properati.com.mx/r78b_venta_casa_gustavo-a-madero_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
1257,sell,apartment,|Iztacalco|Distrito Federal|México|,"19.399226,-99.134352",635728.0,MXN,630126.31,33502.21,,70.0,,9081.828571428572,,,,http://viaducto-piedad.properati.com.mx/r9v0_venta_departamento_viaducto-piedad_marcos-carrillo_354_arturo-nova
1258,sell,house,|Cuauhtémoc|Distrito Federal|México|,,,,,,0.0,0.0,,,,,,http://cuauhtemoc.properati.com.mx/qztv_venta_casa_cuauhtemoc_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
1259,sell,apartment,|Tlalpan|Distrito Federal|México|,"19.298168,-99.113106",3372700.0,MXN,3342189.57,177695.7,,83.0,,40634.93975903615,,,,http://granjas-coapa.properati.com.mx/p36z_venta_departamento_granjas-coapa_jorge-trejo_c56
1260,sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.413393,-99.131381",1325000.0,MXN,1313013.67,69809.59,,62.0,,21370.967741935485,,,,http://cuauhtemoc.properati.com.mx/qvmx_venta_departamento_cuauhtemoc_av-del-taller_62_edgar-hidalgo-salvador
1261,sell,apartment,|Tlalpan|Distrito Federal|México|,"19.275206,-99.218292",6580000.0,MXN,6520475.48,346677.06,,160.0,,41125.0,,,,http://lomas-del-pedregal.properati.com.mx/pl5y_venta_departamento_lomas-del-pedregal_inventario-inmobiliario-5
1262,sell,apartment,|Venustiano Carranza|Distrito Federal|México|,"19.410079,-99.127004",831000.0,MXN,823482.39,43782.46,,60.0,,13850.0,,,,http://venustiano-carranza.properati.com.mx/ovnw_venta_departamento_venustiano-carranza_calzada-de-la-viga_246_gabriela-vega
1263,sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.478469,-99.116014",3150000.0,MXN,3121504.17,165962.42,,116.0,,27155.172413793105,,,,http://gustavo-a-madero.properati.com.mx/pi4i_venta_departamento_gustavo-a-madero_5-de-febrero_14_edson-escutia_cab
1264,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.443903,-99.171681",995333.0,MXN,986562.81,52453.03,,70.0,,14219.042857142857,,,,http://anahuac-miguel-hidalgo.properati.com.mx/rccp_venta_departamento_anahuac_laguna-de-san-cristobal_189_jose-miguel-diaz
1265,sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.56695,-99.115181",,,,,0.0,0.0,,,,,,http://gustavo-a-madero.properati.com.mx/r5uc_venta_casa_gustavo-a-madero_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
1266,sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.527845,-99.149811",520000.0,MXN,515295.91,27396.97,,70.0,,7428.571428571428,,,,http://acueducto-de-guadalupe.properati.com.mx/peve_venta_departamento_acueducto-de-guadalupe_andador_250_ana-leon
1267,sell,house,|Xochimilco|Distrito Federal|México|,"19.264606,-99.134913",3400000.0,MXN,3369242.59,179134.04,,340.0,,10000.0,,,,http://xochimilco.properati.com.mx/p2o1_venta_casa_xochimilco_carlos-hernandez_b43
1268,sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.320576,-99.20929",3000000.0,USD,56425500.0,3000000.0,1200.0,1250.0,2500.0,2400.0,3.0,,,http://alvaro-obregon.properati.com.mx/ip2q_venta_casa_alvaro-obregon
1269,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.440935,-99.188522",3700000.0,MXN,3666528.8,194939.99,0.0,60.0,,61666.66666666666,,,,http://miguel-hidalgo-df.properati.com.mx/oth3_venta_departamento_miguel-hidalgo_sdc-bienes-raices
1270,sell,house,|Azcapotzalco|Distrito Federal|México|,"19.493692,-99.164986",5000000.0,MXN,4954768.48,263432.41,,247.0,,20242.914979757086,,,,http://industrial-vallejo.properati.com.mx/og3v_venta_casa_industrial-vallejo_juan-sebastian-bach_298_irene-plata-ramirez
1271,sell,house,|Iztapalapa|Distrito Federal|México|,"19.371548,-99.049693",2960000.0,MXN,2933918.54,155988.97,,322.0,,9192.546583850932,,,,http://renovacion.properati.com.mx/r566_venta_casa_renovacion_calle-9_1_elizabeth-hernandez_5e4
1272,sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.477089,-99.080158",2800000.0,MXN,2774670.35,147522.15,,220.0,,12727.272727272728,,,,http://gustavo-a-madero.properati.com.mx/oxg5_venta_casa_gustavo-a-madero_puerto-matamoros_90_in-casas-consejeros-en-bienes-raices
1273,sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.461448,-99.10517",4924800.0,MXN,4880248.83,259470.39,,304.0,,16200.0,,,,http://gustavo-a-madero.properati.com.mx/pi3j_venta_casa_gustavo-a-madero_albino-corzo_0_remates-hipotecarios-area-comercial
1274,sell,house,|Gustavo A. Madero|Distrito Federal|México|,,,,,,0.0,0.0,,,,,,http://gustavo-a-madero.properati.com.mx/r1ud_venta_casa_gustavo-a-madero_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
1275,sell,apartment,|Tlalpan|Distrito Federal|México|,"19.295734,-99.146996",2050000.0,MXN,2031455.11,108007.29,,63.0,,32539.68253968254,,,,http://san-lorenzo-huipulco.properati.com.mx/qbl0_venta_departamento_san-lorenzo-huipulco_sara-vazquez_eo5
1276,sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.163416038,-86.8342872709",380000.0,USD,7147230.0,380000.0,542.0,708.0,701.1070110701107,536.723163841808,,,,http://cancun.properati.com.mx/bx8t_venta_departamento_cancun
1277,sell,apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,,3062667.0,MXN,3034961.18,161361.15,,140.0,,21876.19285714285,,,,http://cuajimalpa-de-morelos.properati.com.mx/ongu_venta_departamento_cuauhtemoc_doctor-enrique-gonzalez-martinez_246_antonio-pedro
1278,sell,house,|Benito Juárez|Quintana Roo|México|,"21.129821,-86.763694",19500000.0,MXN,19323597.66,1027386.43,,950.0,,20526.315789473683,,,,http://benito-juarez-quintana-roo.properati.com.mx/o3bo_venta_casa_benito-juarez_pok-ta-pok_francisco-gomez
1279,sell,apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,,2458095.0,MXN,2436435.97,129539.09,0.0,64.0,,38407.734375,,,,http://cuajimalpa-de-morelos.properati.com.mx/kdqa_venta_departamento_cuajimalpa-de-morelos_next-home
1280,sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.340202,-99.257774",3200000.0,MXN,3171051.78,168596.74,,110.0,,29090.90909090909,,,,http://alvaro-obregon.properati.com.mx/o25s_venta_departamento_alvaro-obregon_chartes_0_jorge-mendiola
1281,sell,apartment,|Venustiano Carranza|Distrito Federal|México|,"19.452503,-99.120018",859000.0,MXN,851229.07,45257.68,,68.0,,12632.35294117647,,,,http://venustiano-carranza.properati.com.mx/q3h6_venta_departamento_venustiano-carranza_aluminio_molen
1282,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.3981280251,-99.1629248857",4250000.0,MXN,4212551.97,223970.65,83.0,83.0,2698.4415662650604,51204.81927710844,,,,http://benito-juarez.properati.com.mx/cbp6_venta_departamento_benito-juarez
1283,sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.410723,-99.182367",5190000.0,MXN,5143049.84,273442.85,,92.0,,56413.04347826087,,,,http://cuauhtemoc.properati.com.mx/qbnx_venta_departamento_cuauhtemoc_jose-vasconcelos_300_live-bienes-raices
1284,sell,house,|Bacalar|Quintana Roo|México|,"18.68361,-88.400657",730000.0,MXN,723396.16,38461.13,,78.0,,9358.97435897436,,,,http://bacalar.properati.com.mx/kzcj_venta_casa_bacalar_calle-25-esquina-calle-24_6_arturo-dagnino
1285,sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.405298,-99.164986",7200000.0,MXN,7134866.79,379342.68,,145.0,,49655.1724137931,,,,http://cuauhtemoc.properati.com.mx/okr8_venta_departamento_cuauhtemoc_inventario-inmobiliario-6
1286,sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.376822,-99.174675",5500000.0,MXN,5450245.5,289775.66,,135.0,,40740.74074074074,,,,http://benito-juarez.properati.com.mx/o5x1_venta_departamento_benito-juarez_jose-luis-ramirez
1287,sell,store,|Coyoacán|Distrito Federal|México|,"19.310879,-99.138695",118475500.0,MXN,117431580.33,6243537.78,5004.0,4763.0,1247.7093884892088,24874.133949191684,,,,http://coyoacan.properati.com.mx/r530_venta_local_coyoacan_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
1288,sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.450423,-99.201147",750000.0,MXN,743215.24,39514.86,,56.0,,13392.857142857143,,,,http://miguel-hidalgo-df.properati.com.mx/p137_venta_departamento_miguel-hidalgo_proyecta-remates
